Targeted,,,,Conflict,,,,Shellings,,,,Diesel,,,,Wheat,,,,Rainfall,,,,Incidence,,,,DA,Threshold,,Temporal threshold,,Threshold,,KV,Efficacy,,Threshold,,,AIC
1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,1-week lag,2-week lag,3-week lag,4-week lag,,Conflict,Shelling,Conflict,Shelling,Diesel,Wheat,,dV_1,dV_2,Rain,DARv,w,
0,0,0,0,0.038788245,0.031521864,7.25E-17,0.007597713,0,0,0,0,0,0,0,0,0,0,0,0,1.12E-17,0.001208904,0.001042287,0.012334593,1.957043448,0.029441569,1.06E-17,0.031466268,0,1.08E-23,1,56,1,0,0,0.356050602,0.995093773,0.995093773,6.52E-14,8.164753345,0.520445602,347.2818603
0,0,0,0,0,0,0,0,0.164484171,0.00259817,1.07E-16,9.10E-32,0.001552262,0.000636122,4.17E-22,0.00067454,0,0,0,0,0,0,0,0,1.887885927,5.41E-28,3.35E-28,0.006997631,0,1,8.575590011,1,28,14.99926801,0,1.202093837,0.500102395,0.995093773,0,8.87579334,0.565496505,119.4170696
0,0,0,0,0,0,0,0,0.182756512,0.032164952,3.84E-15,0.01417749,0,0,0,0,0.005912208,3.79E-26,6.22E-16,8.50E-19,0,0,0,0,1.909994992,4.97E-19,4.03E-31,0.158823879,0,1,8.6447368,1,27,0,50.01187222,0.868499105,0.994638891,0.995093773,0,8.391650946,0.621383166,297.5458472
0,0,0,0,0,0,0,0,0.036919306,0.02184547,1.41E-30,0.014938492,0,0,0,0,0,0,0,0,6.57E-21,0.000719706,0.000368226,0.011768873,2.001105075,9.72E-19,8.81E-30,0.060362872,0,1,2.65E-29,1,61,0,0,0.161762541,0.995093773,0.995093773,9.53E-12,7.935991016,0.491039855,423.5878936
0,0,0,0,0,0,0,0,0,0,0,0,0.001428385,0.000695013,1.42E-22,0.000660645,0.000449648,1.00E-30,1.16E-17,1.00E-30,0,0,0,0,1.896675197,3.58E-22,4.20E-31,2.22E-22,0,1,1,1,1,15.00000032,50.00009099,0.984935578,0.500000774,0.995093773,0,8.893709425,0.577895736,136.6288814
0,0,0,0,0,0,0,0,0,0,0,0,0.001867234,0.000842782,7.29E-19,0.00039678,0,0,0,0,3.28E-24,0.002079438,2.53E-26,0.012700472,1.909607972,1.29E-29,1.99E-23,4.11E-29,0,1,1,1,1,62.99994098,0,0.904378146,0.500001022,0.995093773,0.001607972,9.015153522,0.55461048,0.137821016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006214772,3.22E-05,2.53E-18,3.14E-17,4.82E-17,0.00136027,0.00111454,0.011973361,1.828435081,0.071480438,1.50E-14,0.052890275,0,1,1,1,1,0,45.00003951,0.835153168,0.995093773,0.995093773,0.000916673,8.517976848,0.619749648,194.6145053
0,0,0,0,0,0,0,0,0,0,0,0,0.001710265,0.000692042,1.22E-28,0.000343592,0.000735742,1.45E-17,4.20E-25,9.93E-24,1.97E-31,0.001331468,0.001129847,0.011830079,1.760599032,0.009927794,1.18E-30,3.48E-19,0,1,1,1,1,15.48811487,9.79E-25,0.997773231,0.50012775,0.995093773,0.002059985,9.067733872,0.573014899,12.2905339
0,0,0,0,0,0,0,0,0.174253674,0.031282248,5.11E-17,0.019086525,0,0,0,0,0.005968246,0.000314354,1.65E-21,3.38E-17,1.80E-30,0.00151843,0.001025439,0.011804916,1.89608761,9.42E-32,1.49E-19,0.070253465,0,1,8.636862395,1,28,0,49.99946389,0.933820741,0.995093297,0.995093773,8.47E-28,8.514933716,0.601196193,182.4981873
0,0,0,0,0,0,0,0,2.14E-18,3.69E-20,0.042431234,0.007906942,0.001820478,0.000899,1.07E-17,0.000357612,0,0,0,0,3.08E-22,0.001501773,0.0012909,0.012227381,1.907934003,2.24E-17,2.22E-18,2.14E-30,0,1,4.65E-27,1,146,62.99993071,0,1.064234426,0.50000039,0.995093773,0.001222771,9.026555643,0.555153271,5.278147492
